type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_124025261904	124025261904_10155209250991905	https://www.facebook.com/124025261904/posts/10155209250991905	"Finding women in politics shouldn t be this hard.   We need more women in leadership roles!  cc: UN Women Egypt"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/28276899_10155209250526905_907148509225776021_n.jpg?oh=05724ecadc58a1189e81dd325280b459&oe=5B0EB9BC	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27993451_10155209250526905_907148509225776021_o.jpg?oh=f4094dd4e8981a1f48333c0dbea8875c&oe=5B0E9A74	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155209250526905/?type=3	facebook.com	2018-02-18T19:00:00+0000	1518980400	"2018-02-18 20:00:00"	249	4	274	66	344	4	4	0	2	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155208588076905	https://www.facebook.com/124025261904/posts/10155208588076905	"Expanding access to quality health care 🏥 and ensuring universal access to sexual and reproductive health and rights are 🔑 for reducing maternal mortality rates. http://unwo.men/qtgd30il4e0 #PromisesToAction #GlobalGoals"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/27857863_10155208587281905_5983288578248185137_n.png?oh=ba5cb18b113adfed5b1db0903c41872c&oe=5B1F4F93	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27993193_10155208587281905_5983288578248185137_o.png?oh=59b175c9b90c2d0f19fca050d0e39085&oe=5AFFE235	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155208587281905/?type=3	facebook.com	2018-02-18T15:00:00+0000	1518966000	"2018-02-18 16:00:00"	226	3	382	147	532	3	2	1	2	0	0	0	0	0	0	0	0
link	post_page_124025261904	124025261904_10155208585781905	https://www.facebook.com/124025261904/posts/10155208585781905	"When times are tough  women have to work harder to secure food for their households.  Florence found herself in a refugee camp in the Democratic Republic of Congo with 6 children to feed: http://unwo.men/fxb230ilt4O #PromisesToAction #GlobalGoals"	https://external.xx.fbcdn.net/safe_image.php?d=AQAbHV-wX8s__mop&w=130&h=130&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fnews%2Fstories%2F2017%2Fdrc_florence_1_675x450.jpg%3Fmw%3D1200%26vs%3D3813&cfs=1&sx=141&sy=0&sw=450&sh=450&_nc_hash=AQC3LA3Wzd4wdxgN	https://external.xx.fbcdn.net/safe_image.php?d=AQDgPQ-Mi-8F7dUc&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fnews%2Fstories%2F2017%2Fdrc_florence_1_675x450.jpg%3Fmw%3D1200%26vs%3D3813&_nc_hash=AQBzlIv6xwHq6gTV	http://unwo.men/fxb230ilt4O	unwo.men	2018-02-18T09:00:00+0000	1518944400	"2018-02-18 10:00:00"	60	1	76	20	97	1	1	0	0	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155208711676905	https://www.facebook.com/124025261904/posts/10155208711676905	"Women get 30% coverage in the media. They are often portrayed as victims.   This is a skewed perception and hence why it is very important to change the narrative.  -- Valentine Njoroge  Kenyan journalist. http://unwo.men/ejs030iawsv cc: UN Women Africa - ONU Femmes Afrique"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/27973003_10155208711196905_804220463038145678_n.png?oh=7153e4db0f0be033458b91e80292dfd7&oe=5B197A6A	https://scontent.xx.fbcdn.net/v/t1.0-9/27973003_10155208711196905_804220463038145678_n.png?oh=831cc50651984d10f8c2a0de03b99046&oe=5B136901	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155208711196905/?type=3	facebook.com	2018-02-18T04:00:00+0000	1518926400	"2018-02-18 05:00:00"	149	3	161	30	194	3	2	1	0	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155208731851905	https://www.facebook.com/124025261904/posts/10155208731851905	"Malian rural women thought their land was sick when effects of climate change ruined their crops and livelihoods. With our new programme  we introduced climate-smart agriculture to help them adapt to new challenges: http://unwo.men/5V2t30ipnCK"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/27867320_10155208731371905_6174325544504603192_n.png?oh=fe3bf5d851158b369c194342605774ca&oe=5B0B0190	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/27867320_10155208731371905_6174325544504603192_n.png?oh=46aeefe787cfcd221c32a8c22996f7d2&oe=5B01EA9D	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155208731371905/?type=3	facebook.com	2018-02-17T23:00:00+0000	1518908400	"2018-02-18 00:00:00"	142	3	156	18	177	3	3	0	0	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155208726921905	https://www.facebook.com/124025261904/posts/10155208726921905	"Want to fight gender bias? Avoid gender-specific nouns!   e.g.: Instead of saying  mankind  you can say  humankind  http://unwo.men/q8Ru30i8Vvy"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/28167075_10155208719266905_2604172368808735410_n.png?oh=be822e49645b184ff79d9d789e597b60&oe=5B209E7C	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/28167075_10155208719266905_2604172368808735410_n.png?oh=eb22ca2afc8a3fad4b91395684882779&oe=5B231571	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155208719266905/?type=3	facebook.com	2018-02-17T17:00:00+0000	1518886800	"2018-02-17 18:00:00"	546	41	599	137	777	40	23	17	45	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155208584416905	https://www.facebook.com/124025261904/posts/10155208584416905	"When crises hit or food prices rise  women and girls often become ‘shock absorbers’ and consume less nutritious food themselves. http://unwo.men/qtgd30il4e0 #PromisesToAction #GlobalGoals"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/27973012_10155208583911905_953265288738366551_n.png?oh=71494fafc3892cce375c2a031895523b&oe=5B1A21B2	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27993121_10155208583911905_953265288738366551_o.png?oh=5df190a9389c9dbc1c6049864ba9520e&oe=5B005449	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155208583911905/?type=3	facebook.com	2018-02-17T13:00:00+0000	1518872400	"2018-02-17 14:00:00"	145	5	206	96	307	5	5	0	5	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155206945616905	https://www.facebook.com/124025261904/posts/10155206945616905	"UN Women shared SayNO - UNiTE to End Violence Against Women s post."	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/27752205_10155625903969864_1391604378569840974_n.jpg?oh=fef48cbd7ec3878d721f4456651abf5d&oe=5B245FFB	https://scontent.xx.fbcdn.net/v/t1.0-9/27752205_10155625903969864_1391604378569840974_n.jpg?oh=f4a7c01d8dff3436e003950efa04263d&oe=5B1F275C	https://www.facebook.com/SayNO.UNiTE/photos/a.10150161004964864.296435.156874494863/10155625903969864/?type=3	facebook.com	2018-02-17T07:00:00+0000	1518850800	"2018-02-17 08:00:00"	623	8	667	109	784	8	6	2	10	0	0	0	0	0	0	0	0
link	post_page_124025261904	124025261904_10155206941816905	https://www.facebook.com/124025261904/posts/10155206941816905	"Agriculture is key to lift women out of poverty in Mali  but effects of climate change are depriving women of their livelihoods and making them more vulnerable. That s why we introduced climate smart agriculture with a new programme: http://unwo.men/m0ry30ipnf3 cc: luxembourg.lu - The Grand Duchy s Portal"	https://external.xx.fbcdn.net/safe_image.php?d=AQCsgxrsECeTNH7L&w=130&h=130&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fnews%2Fstories%2F2018%2F2%2Fmali_agriculture_photo3_1_675pxwide.jpg%3Fmw%3D1200%26vs%3D3552&cfs=1&_nc_hash=AQD4F2lbNZc5cHp3	https://external.xx.fbcdn.net/safe_image.php?d=AQDLA1ZBGrGjxJci&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fnews%2Fstories%2F2018%2F2%2Fmali_agriculture_photo3_1_675pxwide.jpg%3Fmw%3D1200%26vs%3D3552&_nc_hash=AQCwHNZLEVPgkUHk	http://unwo.men/m0ry30ipnf3	unwo.men	2018-02-17T01:00:00+0000	1518829200	"2018-02-17 02:00:00"	142	4	154	26	184	3	3	0	0	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155206935171905	https://www.facebook.com/124025261904/posts/10155206935171905	"A better world starts with women feeling safe  and Salma is not waiting for others to take action on the issue. Check out how she s taking matters into her hands to end sexual harassment in public spaces: http://unwo.men/izCs30iqJTS #FromWhereIStand"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/27867693_10155206934426905_3626718792369897528_n.png?oh=de99b35203374018e4dfa55501bd8ad2&oe=5B171C08	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/27867693_10155206934426905_3626718792369897528_n.png?oh=463b5e22bddd808790ba0a20edba6a8c&oe=5B1CAB05	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155206934426905/?type=3	facebook.com	2018-02-16T18:00:00+0000	1518804000	"2018-02-16 19:00:00"	179	5	196	50	251	5	5	0	1	0	0	0	0	0	0	0	0
